Device Type: FT1080
Firmware Version:20240731113137
Start Freqency Division:1
Window Resolution:64ps
Mask Window:0 ns
Start Threshold:1499mV
Stop Threshold:1499mV
Stop Delay(ns):ch0 0.0 ns,ch1 0.0 ns,ch2 0.0 ns,ch3 0.0 ns,ch4 0.0 ns,ch5 0.0 ns,ch6 0.0 ns,ch7 0.0 ns,
Mode:T3

[Flag:] 0(Event)	1(Control Field)
Flag	 Channel	 Time(bin)	 Time(ps)	 Seq
0	0	26151	1673664	41598
0	3	3524	225536	41783
0	2	23151	1481664	41854
0	2	10818	692352	42105
0	3	13115	839360	42141
0	0	19766	1265024	42952
0	0	20580	1317120	42952
0	2	1076	68864	43147
0	1	10657	682048	43815
0	0	23275	1489600	44022
0	0	23958	1533312	44139
0	0	24954	1597056	44139
0	2	8913	570432	44956
0	2	10706	685184	44956
0	0	26562	1699968	45106
0	3	414	26496	45740
0	0	3551	227264	45767
0	1	1887	120768	46195
0	3	21097	1350208	46489
0	0	151	9664	46626
0	0	1498	95872	46626
0	0	30547	1955008	46846
0	0	10066	644224	47232
0	0	15205	973120	47391
0	0	17337	1109568	47396
0	3	19575	1252800	47409
0	3	1890	120960	47606
0	2	22467	1437888	47948
0	3	11321	724544	48420
0	1	10750	688000	48536
0	3	25197	1612608	49282
0	3	2141	137024	49324
0	2	23582	1509248	49906
0	3	10515	672960	50229
0	0	7636	488704	50233
0	0	28957	1853248	50490
0	1	21925	1403200	51265
0	3	6154	393856	51409
0	2	1701	108864	51569
0	0	11665	746560	51715
0	3	1231	78784	51933
0	0	11610	743040	52060
0	0	17902	1145728	52555
0	0	6728	430592	53017
0	0	28307	1811648	53385
0	1	31625	2024000	54065
0	3	14350	918400	54245
0	3	4840	309760	54293
0	2	24320	1556480	54758
0	0	17662	1130368	55229
0	3	2328	148992	55308
0	0	21696	1388544	55957
0	1	16545	1058880	56532
0	1	17381	1112384	56532
0	3	14371	919744	56553
0	3	15188	972032	56553
0	2	279	17856	56737
0	1	25030	1601920	56740
0	3	27919	1786816	57104
0	3	11047	707008	57187
0	0	6117	391488	57953
0	0	6269	401216	57984
0	0	2580	165120	58220
0	1	15423	987072	58373
0	3	4772	305408	58556
0	3	12343	789952	58556
0	3	14075	900800	58556
0	1	20807	1331648	58891
0	1	24102	1542528	58965
0	0	25111	1607104	59274
0	0	8062	515968	59680
0	3	11360	727040	59905
0	3	28933	1851712	59970
0	3	29870	1911680	59970
0	3	30822	1972608	59970
0	2	912	58368	60155
0	3	9777	625728	60217
0	3	13120	839680	60719
0	0	4975	318400	60770
0	0	11520	737280	60780
0	1	4058	259712	60814
0	1	19929	1275456	61054
0	1	11765	752960	61432
0	1	14485	927040	62000
0	3	19693	1260352	62618
0	3	20796	1330944	62618
0	0	14551	931264	62935
0	3	13042	834688	63316
0	3	14496	927744	63316
0	0	4644	297216	63592
0	3	31399	2009536	63733
0	3	31904	2041856	63735
0	2	12127	776128	64150
0	2	13925	891200	64150
0	0	30982	1982848	64575
0	0	32415	2074560	64575
0	3	26704	1709056	64988
0	2	6595	422080	65230
0	2	14684	939776	65283
0	1	1771	113344	65356
0	2	20158	1290112	65376
0	0	32176	2059264	65953
0	2	9035	578240	66000
0	2	10063	644032	66000
0	2	2820	180480	66034
0	3	11890	760960	66055
0	2	13933	891712	66960
0	3	985	63040	67569
0	3	7557	483648	67669
0	3	9224	590336	67669
0	3	10323	660672	67669
0	3	16146	1033344	67669
0	0	28188	1804032	67808
0	1	3091	197824	67868
0	3	7911	506304	67928
0	3	11351	726464	67928
0	0	31438	2012032	68489
0	2	29148	1865472	68514
0	1	1540	98560	68981
0	3	22759	1456576	69078
0	1	18831	1205184	69235
0	2	28884	1848576	69251
0	2	29656	1897984	69251
0	0	29193	1868352	69314
0	1	10948	700672	69402
0	1	12144	777216	69402
0	3	7644	489216	69645
0	3	18015	1152960	69795
0	3	14920	954880	70032
0	2	14079	901056	70122
0	0	29034	1858176	70194
0	0	31142	1993088	70194
0	1	23840	1525760	70573
0	1	9774	625536	70722
0	2	20385	1304640	70986
0	2	21354	1366656	70986
0	0	30650	1961600	71040
0	0	32752	2096128	71040
0	1	19067	1220288	71122
0	1	21784	1394176	71190
0	1	10581	677184	71429
0	3	31543	2018752	71548
0	0	11723	750272	71800
0	2	32043	2050752	72244
0	0	23542	1506688	72552
0	0	12047	771008	72874
0	3	875	56000	73171
0	2	20191	1292224	73297
0	2	23518	1505152	73297
0	2	7654	489856	73379
0	0	21651	1385664	74061
0	3	3447	220608	74120
0	1	31457	2013248	74641
0	2	16508	1056512	75088
0	1	27822	1780608	75285
0	1	25442	1628288	75565
0	0	31419	2010816	75774
0	1	6417	410688	75828
0	2	21580	1381120	76291
0	1	17161	1098304	76568
0	2	22098	1414272	77120
0	1	26929	1723456	77167
0	1	23347	1494208	77916
0	3	19069	1220416	78252
0	3	14493	927552	78465
0	3	15251	976064	78465
0	0	3624	231936	78787
0	0	13087	837568	78882
0	0	15153	969792	78882
0	2	7865	503360	78910
0	0	22916	1466624	79246
0	0	3924	251136	79259
0	3	12624	807936	79398
0	0	23938	1532032	79398
0	3	27158	1738112	79402
0	3	29337	1877568	79402
0	0	22314	1428096	80147
0	1	20081	1285184	80664
0	3	2644	169216	80758
0	2	22214	1421696	80795
0	1	23278	1489792	80806
0	2	19689	1260096	80930
0	3	30716	1965824	81171
0	0	6438	412032	81461
0	0	8364	535296	81461
0	1	11788	754432	81781
0	1	12907	826048	81781
0	1	20989	1343296	81781
0	3	21502	1376128	82599
0	3	15512	992768	82700
0	0	23824	1524736	83252
0	1	26848	1718272	83286
0	1	17776	1137664	83295
0	3	23365	1495360	83970
0	3	29739	1903296	84005
0	2	26514	1696896	84038
0	1	8241	527424	84216
0	1	8974	574336	84216
0	2	32105	2054720	84606
0	1	21238	1359232	84753
0	2	32078	2052992	84960
0	2	30133	1928512	84983
0	0	21955	1405120	85599
0	2	3928	251392	85711
0	2	5548	355072	85711
0	2	8048	515072	85711
0	1	12822	820608	86059
0	0	19946	1276544	86599
0	2	9940	636160	87249
0	2	15535	994240	87421
0	0	22666	1450624	87429
